DATE_TIME,DC_POWER,AC_POWER
2020-05-15 00:00:00,0.0,0.0
2020-05-15 00:15:00,0.0,0.0
2020-05-15 00:30:00,0.0,0.0
2020-05-15 00:45:00,0.0,0.0
2020-05-15 01:00:00,0.0,0.0
2020-05-15 01:15:00,0.0,0.0
2020-05-15 01:30:00,0.0,0.0
2020-05-15 01:45:00,0.0,0.0
2020-05-15 02:00:00,0.0,0.0
2020-05-15 02:15:00,0.0,0.0
2020-05-15 02:30:00,0.0,0.0
2020-05-15 02:45:00,0.0,0.0
2020-05-15 03:00:00,0.0,0.0
2020-05-15 03:15:00,0.0,0.0
2020-05-15 03:30:00,0.0,0.0
2020-05-15 03:45:00,0.0,0.0
2020-05-15 04:00:00,0.0,0.0
2020-05-15 04:15:00,0.0,0.0
2020-05-15 04:30:00,0.0,0.0
2020-05-15 04:45:00,0.0,0.0
2020-05-15 05:00:00,0.0,0.0
2020-05-15 05:15:00,0.0,0.0
2020-05-15 05:30:00,0.0,0.0
2020-05-15 05:45:00,0.0,0.0
2020-05-15 06:00:00,331.99333333333334,320.43333333333334
2020-05-15 06:15:00,587.1795238095239,566.977619047619
2020-05-15 06:30:00,1284.2057142857143,1243.5561904761905
2020-05-15 06:45:00,3450.8971428571426,3373.6585714285716
2020-05-15 07:00:00,6733.253333333333,6614.38
2020-05-15 07:15:00,8379.64,8234.446666666667
2020-05-15 07:30:00,10109.33238095238,9919.995238095238
2020-05-15 07:45:00,12052.23142857143,11813.325714285715
2020-05-15 08:00:00,12379.565238095238,12132.810476190476
2020-05-15 08:15:00,14071.28,13784.546666666667
2020-05-15 08:30:00,16053.013333333332,15718.433333333332
2020-05-15 08:45:00,17777.12857142857,17399.511428571426
2020-05-15 09:00:00,18697.333333333332,18295.993333333332
2020-05-15 09:15:00,20195.25380952381,19754.621904761905
2020-05-15 09:30:00,19997.386666666665,19552.76761904762
2020-05-15 09:45:00,19059.164285714287,18627.731904761906
2020-05-15 10:00:00,18570.720476190476,18142.809523809523
2020-05-15 10:15:00,17465.253333333334,17041.513333333332
2020-05-15 10:30:00,18074.0,17622.486666666668
2020-05-15 10:45:00,18684.176666666666,18217.238095238095
2020-05-15 11:00:00,17977.836666666666,17528.37714285714
2020-05-15 11:15:00,17757.35523809524,17313.777619047618
2020-05-15 11:30:00,18009.66,17559.64
2020-05-15 11:45:00,17059.7,16633.173333333332
2020-05-15 12:00:00,16969.051904761905,16544.794761904763
2020-05-15 12:15:00,18008.725714285712,17558.46476190476
2020-05-15 12:30:00,17661.64857142857,17220.08619047619
2020-05-15 12:45:00,17586.326666666668,17147.06
2020-05-15 13:00:00,17838.133333333335,17397.133333333335
2020-05-15 13:15:00,17768.745714285713,17331.82238095238
2020-05-15 13:30:00,18686.08761904762,18226.817142857144
2020-05-15 13:45:00,17746.318571428572,17310.55904761905
2020-05-15 14:00:00,18242.933333333334,17806.1
2020-05-15 14:15:00,18774.32,18327.02
2020-05-15 14:30:00,17019.533809523808,16642.04095238095
2020-05-15 14:45:00,18272.444285714286,17867.47238095238
2020-05-15 15:00:00,20077.719523809523,19638.640476190474
2020-05-15 15:15:00,19133.233333333334,18720.18
2020-05-15 15:30:00,14042.306666666667,13755.333333333334
2020-05-15 15:45:00,15855.710000000001,15524.318571428572
2020-05-15 16:00:00,14186.605714285713,13895.899047619047
2020-05-15 16:15:00,10408.01857142857,10206.89380952381
2020-05-15 16:30:00,9310.133333333333,9140.826666666666
2020-05-15 16:45:00,9733.8,9553.453333333333
2020-05-15 17:00:00,6389.254285714286,6274.262380952381
2020-05-15 17:15:00,4269.249523809523,4184.69619047619
2020-05-15 17:30:00,2091.0466666666666,2033.4999999999998
2020-05-15 17:45:00,847.7733333333333,819.44
2020-05-15 18:00:00,545.24,526.5133333333333
2020-05-15 18:15:00,333.97809523809525,322.3
2020-05-15 18:30:00,51.731904761904765,49.902857142857144
2020-05-15 18:45:00,0.0,0.0
2020-05-15 19:00:00,0.0,0.0
2020-05-15 19:15:00,0.0,0.0
2020-05-15 19:30:00,0.0,0.0
2020-05-15 19:45:00,0.0,0.0
2020-05-15 20:00:00,0.0,0.0
2020-05-15 20:15:00,0.0,0.0
2020-05-15 20:30:00,0.0,0.0
2020-05-15 20:45:00,0.0,0.0
2020-05-15 21:00:00,0.0,0.0
2020-05-15 21:15:00,0.0,0.0
2020-05-15 21:30:00,0.0,0.0
2020-05-15 21:45:00,0.0,0.0
2020-05-15 22:00:00,0.0,0.0
